ts_utc,symbol,round_id,poll_price,ws_price,price_delta,chain_updated_at,poll_wall_ts,ws_wall_ts,poll_lag_s,ws_lag_s,delta_ms,faster
2026-03-31T09:44:53,XRP,36893488147422507794,1.30888,1.30888,0.0,1774950289,1774950293.6962163,1774950293.0828116,4.696,4.083,-613.4,ws
2026-03-31T09:44:54,BTC,55340232221132071737,66438.80031,66438.80031,0.0,1774950291,1774950292.9864957,1774950294.1066408,1.986,3.107,1120.1,poll
2026-03-31T09:44:54,SOL,36893488147423038072,81.77390121,81.77390121,0.0,1774950287,1774950294.7234123,1774950292.7741883,7.723,5.774,-1949.2,ws
2026-03-31T09:45:06,ETH,55340232221132099668,2028.60385,2028.60385,0.0,1774950303,1774950306.4964337,1774950306.2936876,3.496,3.294,-202.7,ws
2026-03-31T09:45:22,SOL,36893488147423038073,81.77816,81.77816,0.0,1774950321,1774950322.7775126,1774950322.9854493,1.778,1.985,207.9,poll
2026-03-31T09:45:30,BTC,55340232221132071738,66435.32933544,66435.32933544,0.0,1774950323,1774950330.461381,1774950329.8443913,7.461,6.844,-617.0,ws
2026-03-31T09:45:30,XRP,36893488147422507795,1.30950633,1.30950633,0.0,1774950323,1774950329.025614,1774950330.7631755,6.026,7.763,1737.6,poll
2026-03-31T09:45:40,ETH,55340232221132099669,2028.29628,2028.29628,0.0,1774950337,1774950339.0617247,1774950340.173015,2.062,3.173,1111.3,poll
2026-03-31T09:45:57,SOL,36893488147423038074,81.83111,81.83111,0.0,1774950353,1774950357.9037979,1774950356.365439,4.904,3.365,-1538.4,ws
2026-03-31T09:46:03,BTC,55340232221132071739,66407.53378882,66407.53378882,0.0,1774950357,1774950363.328327,1774950361.896214,6.328,4.896,-1432.1,ws
2026-03-31T09:46:09,XRP,36893488147422507796,1.31216465,1.31216465,0.0,1774950365,1774950369.0639665,1774950368.8586159,4.064,3.859,-205.4,ws
2026-03-31T09:46:11,ETH,55340232221132099670,2026.96692943,2026.96692943,0.0,1774950369,1774950371.831724,1774950370.8019433,2.832,1.802,-1029.8,ws
2026-03-31T09:46:31,BTC,55340232221132071740,66395.59,66395.59,0.0,1774950389,1774950391.590988,1774950391.79652,2.591,2.797,205.5,poll
2026-03-31T09:46:32,SOL,36893488147423038075,81.82669329,81.82669329,0.0,1774950387,1774950390.6691864,1774950392.4106004,3.669,5.411,1741.4,poll
2026-03-31T09:46:44,XRP,36893488147422507797,1.31238,1.31238,0.0,1774950401,1774950404.0842144,1774950402.7508907,3.084,1.751,-1333.3,ws
2026-03-31T09:46:46,ETH,55340232221132099671,2026.34964998,2026.34964998,0.0,1774950403,1774950406.8466387,1774950406.1118517,3.847,3.112,-734.8,ws
2026-03-31T09:47:03,SOL,36893488147423038076,81.82041412,81.82041412,0.0,1774950419,1774950423.7440577,1774950422.5183778,4.744,3.518,-1225.7,ws
2026-03-31T09:47:04,BTC,55340232221132071741,66372.42964556,66372.42964556,0.0,1774950421,1774950424.7694724,1774950423.846807,3.769,2.847,-922.7,ws
2026-03-31T09:47:16,XRP,36893488147422507798,1.312,1.312,0.0,1774950433,1774950436.747683,1774950435.01207,3.748,2.012,-1735.6,ws
2026-03-31T09:47:18,ETH,55340232221132099672,2025.54818,2025.54818,0.0,1774950435,1774950437.363864,1774950438.285993,2.364,3.286,922.1,poll
2026-03-31T09:47:34,SOL,36893488147423038077,81.82609857,81.82609857,0.0,1774950453,1774950454.8517964,1774950454.4412267,1.852,1.441,-410.6,ws
2026-03-31T09:47:39,BTC,55340232221132071742,66370.57856915,66370.57856915,0.0,1774950455,1774950459.6948469,1774950459.7677445,4.695,4.768,72.9,poll
2026-03-31T09:47:56,XRP,36893488147422507799,1.31211775,1.31211775,0.0,1774950465,1774950476.3801668,1774950476.7893426,11.38,11.789,409.2,poll
2026-03-31T09:47:59,ETH,55340232221132099673,2024.38,2024.38,0.0,1774950469,1774950479.7602005,1774950478.1238475,10.76,9.124,-1636.4,ws
2026-03-31T09:48:13,BTC,55340232221132071743,66350.48,66350.48,0.0,1774950489,1774950492.6606858,1774950493.788576,3.661,4.789,1127.9,poll
2026-03-31T09:48:20,SOL,36893488147423038078,81.73162243,81.73162243,0.0,1774950497,1774950499.3145096,1774950500.548501,2.315,3.549,1234.0,poll
2026-03-31T09:48:21,XRP,36893488147422507800,1.31194942,1.31194942,0.0,1774950499,1774950501.9864902,1774950500.8512807,2.986,1.851,-1135.2,ws
2026-03-31T09:48:25,ETH,55340232221132099674,2024.86,2024.86,0.0,1774950503,1774950505.6660478,1774950504.2307725,2.666,1.231,-1435.3,ws
2026-03-31T09:48:45,BTC,55340232221132071744,66349.88,66349.88,0.0,1774950521,1774950525.8378572,1774950525.9212697,4.838,4.921,83.4,poll
2026-03-31T09:48:52,SOL,36893488147423038079,81.700692,81.700692,0.0,1774950529,1774950532.291143,1774950530.4473188,3.291,1.447,-1843.8,ws
2026-03-31T09:48:54,XRP,36893488147422507801,1.31167578,1.31167578,0.0,1774950531,1774950534.7448313,1774950534.8472712,3.745,3.847,102.4,poll
2026-03-31T09:48:58,ETH,55340232221132099675,2024.67403146,2024.67403146,0.0,1774950535,1774950538.6448624,1774950538.0244708,3.645,3.024,-620.4,ws
2026-03-31T09:49:16,BTC,55340232221132071745,66350.06789777,66350.06789777,0.0,1774950553,1774950556.357862,1774950555.739156,3.358,2.739,-618.7,ws
2026-03-31T09:49:27,XRP,36893488147422507802,1.31138887,1.31138887,0.0,1774950565,1774950567.6190858,1774950566.9013405,2.619,1.901,-717.7,ws
2026-03-31T09:49:30,ETH,55340232221132099676,2024.7331711,2024.7331711,0.0,1774950567,1774950570.0154972,1774950568.031016,3.015,1.031,-1984.5,ws
2026-03-31T09:49:38,SOL,36893488147423038080,81.69652,81.69652,0.0,1774950573,1774950576.8313546,1774950578.2669702,3.831,5.267,1435.6,poll
2026-03-31T09:49:56,BTC,55340232221132071746,66355.95209801,66355.95209801,0.0,1774950587,1774950596.1881647,1774950592.091443,9.188,5.091,-4096.7,ws
2026-03-31T09:50:02,XRP,36893488147422507803,1.31169689,1.31169689,0.0,1774950599,1774950602.5431757,1774950601.9229207,3.543,2.923,-620.3,ws
2026-03-31T09:50:09,SOL,36893488147423038081,81.72211756,81.72211756,0.0,1774950607,1774950609.4816248,1774950608.6800046,2.482,1.68,-801.6,ws
2026-03-31T09:50:14,ETH,55340232221132099677,2025.9988,2025.9988,0.0,1774950611,1774950614.3114903,1774950612.774443,3.311,1.774,-1537.0,ws
2026-03-31T09:50:22,BTC,55340232221132071747,66355.22,66355.22,0.0,1774950619,1774950622.2001467,1774950621.864429,3.2,2.864,-335.7,ws
2026-03-31T09:50:35,XRP,36893488147422507804,1.3117,1.3117,0.0,1774950631,1774950635.4058952,1774950634.651666,4.406,3.652,-754.2,ws
2026-03-31T09:50:44,SOL,36893488147423038082,81.6612,81.6612,0.0,1774950641,1774950644.6303573,1774950642.985498,3.63,1.985,-1644.9,ws
2026-03-31T09:50:48,ETH,55340232221132099678,2024.84407861,2024.84407861,0.0,1774950645,1774950647.2842915,1774950648.1031368,2.284,3.103,818.8,poll
